,Unnamed: 0,Unnamed: 0.1,food,gluten,peanuts,eggs,seafood,soy,dairy,tree nuts,joined_word
118,118,118,trout,0.0,0.0,0.0,1.0,0.0,0.0,0.0,trout
119,119,119,tuna,0.0,0.0,0.0,1.0,0.0,0.0,0.0,tuna
120,120,120,tvp,0.0,0.0,0.0,0.0,1.0,0.0,0.0,tvp
121,121,121,walnut,0.0,0.0,0.0,0.0,0.0,0.0,1.0,walnut
122,122,122,wheat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,wheat
123,123,123,whiting,0.0,0.0,0.0,1.0,0.0,0.0,0.0,whiting
124,124,124,yogurt,0.0,0.0,0.0,0.0,0.0,1.0,0.0,yogurt
125,125,125,yolk,0.0,0.0,1.0,0.0,0.0,0.0,0.0,yolk
126,126,126,Almond,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Almond
127,127,127,Barley,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Barley
128,128,128,Buckwheat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Buckwheat
129,129,129,Butter,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Butter
130,130,130,Buttermilk,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Buttermilk
131,131,131,Casein,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Casein
132,132,132,Cheese,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Cheese
133,133,133,Chestnut,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Chestnut
134,134,134,Cream,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Cream
135,135,135,Crustaceans,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Crustaceans
136,136,136,Custard,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Custard
137,137,137,Eel,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Eel
138,138,138,Eggs,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Eggs
139,139,139,Ginkgo nut,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Ginkgonut
140,140,140,Globfish,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Globfish
141,141,141,Green soybean,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Greensoybean
142,142,142,Horse Mackerel,0.0,0.0,0.0,1.0,0.0,0.0,0.0,HorseMackerel
143,143,143,Ice cream,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Icecream
144,144,144,Lactose,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Lactose
145,145,145,Mackerel,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Mackerel
146,146,146,Milk,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Milk
147,147,147,Peanut,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Peanut
148,148,148,Pecan,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Pecan
149,149,149,Percifomes,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Percifomes
150,150,150,Rice,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Rice
151,151,151,Rye,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Rye
152,152,152,Salmon,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Salmon
153,153,153,Sea Bass,0.0,0.0,0.0,1.0,0.0,0.0,0.0,SeaBass
154,154,154,Sea Bream,0.0,0.0,0.0,1.0,0.0,0.0,0.0,SeaBream
155,155,155,Shelled mollusc,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Shelledmollusc
156,156,156,Sour cream,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Sourcream
157,157,157,Soybean,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Soybean
158,158,158,Tetraodontiformes,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Tetraodontiformes
159,159,159,Trout,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Trout
160,160,160,Tuna,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Tuna
161,161,161,Walnut,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Walnut
162,162,162,Wheat,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Wheat
163,163,163,Whey,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Whey
164,164,164,Yogurt ,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Yogurt
165,165,165,rice flour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,riceflour
166,166,166,yellow cornflour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,yellowcornflour
167,167,167,white cornflour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,whitecornflour
168,168,168,diglyceride,0.0,0.0,0.0,0.0,0.0,0.0,0.0,diglyceride
169,169,169,monoglyceride,0.0,0.0,0.0,0.0,0.0,0.0,0.0,monoglyceride
170,170,170,sugar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sugar
171,171,171,palm oil,0.0,0.0,0.0,0.0,0.0,0.0,1.0,palmoil
172,172,172,cocoa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cocoa
173,173,173,skim milk,0.0,0.0,0.0,0.0,0.0,1.0,0.0,skimmilk
174,174,174,reduced minerals whey,0.0,0.0,0.0,0.0,0.0,1.0,0.0,reducedmineralswhey
175,175,175,vanillin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,vanillin
176,176,176,orange juice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,orangejuice
177,177,177,orange juice pulp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,orangejuicepulp
178,178,178,peanuts,0.0,1.0,0.0,0.0,0.0,0.0,0.0,peanuts
179,179,179,canola oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,canolaoil
180,180,180,salt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,salt
181,181,181,milk,0.0,0.0,0.0,0.0,0.0,1.0,0.0,milk
182,182,182,milk fat,0.0,0.0,0.0,0.0,0.0,1.0,0.0,milkfat
